site	Aegopodium podagraria L.	Agrostis canina L. s.s.	Agrostis capillaris L.	Agrostis stolonifera L.	Ajuga reptans L.	Alisma plantago-aquatica L.	Alopecurus geniculatus L.	Alopecurus pratensis L.	Angelica sylvestris L.	Anthoxanthum odoratum L.	Anthriscus sylvestris (L.) Hoffm.	Apium graveolens L.	Apium nodiflorum (L.) Lag.	Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl	Berula erecta (Huds.) Coville	Bromus hordeaceus L.	Callitriche stagnalis Scop.	Caltha palustris L.	Calystegia sepium (L.) R.Br.	Calystegia silvatica (Kit.) Griseb.	Cardamine flexuosa With.	Cardamine pratensis L.	Carduus crispus L.	Carduus tenuiflorus Curtis	Carex acuta L.	Carex acutiformis Ehrh.	Carex disticha Huds.	Carex elata All.	Carex flacca Schreb.	Carex hirta L.	Carex limosa L.	Carex nigra (L.) Reichard	Carex otrubae Podp.	Carex ovalis Gooden.	Carex panicea L.	Carex paniculata L.	Carex pendula Huds.	Carex pseudocyperus L.	Carex riparia Curtis	Carex rostrata Stokes	Carex vesicaria L.	Cerastium fontanum Baumg.	Cerastium glomeratum Thuill.	Chaerophyllum temulum L.	Chamerion angustifolium (L.) Holub	Cirsium arvense (L.) Scop.	Cirsium dissectum (L.) Hill	Cirsium eriophorum (L.) Scop.	Cirsium palustre (L.) Scop.	Cirsium vulgare (Savi) Ten.	Comarum palustre L.	Convolvulus arvensis L.	Corylus avellana L.	Crataegus monogyna Jacq.	Crepis paludosa (L.) Moench	Crepis vesicaria L.	Dactylis glomerata L.	Daucus carota L.	Deschampsia cespitosa (L.) P.Beauv.	Dryopteris affinis (Lowe) Fraser-Jenk.	Dryopteris dilatata (Hoffm.) A.Gray	Dryopteris filix-mas (L.) Schott	Elytrigia repens (L.) Desv. ex Nevski	Epilobium hirsutum L.	Epilobium montanum L.	Epilobium obscurum Schreb.	Epilobium palustre L.	Epilobium parviflorum Schreb.	Epilobium roseum Schreb.	Epilobium tetragonum L.	Equisetum arvense L.	Equisetum arvense x fluviatile = E. x litorale Kühlew. ex Rupr.	Equisetum fluviatile L.	Equisetum palustre L.	Equisetum variegatum Schleich. ex F.Weber & D.Mohr	Eriophorum angustifolium Honck.	Eupatorium cannabinum L.	Festuca rubra L.	Filipendula ulmaria (L.) Maxim.	Galium aparine L.	Galium constrictum Chaub.	Galium mollugo L.	Galium palustre L.	Galium uliginosum L.	Geranium dissectum L.	Geranium robertianum L.	Geum rivale L.	Geum urbanum L.	Glyceria declinata Bréb.	Glyceria fluitans (L.) R.Br.	Glyceria fluitans x notata = G. x pedicellata F.Towns.	Glyceria maxima (Hartm.) Holmb.	Glyceria notata Chevall.	Hedera helix L.	Heracleum sphondylium L.	Hippuris vulgaris L.	Holcus lanatus L.	Holcus mollis L.	Hyoscyamus niger L.	Hypericum elodes L.	Hypericum perforatum L.	Hypericum tetrapterum Fr.	Hypochaeris radicata L.	Iris pseudacorus L.	Juncus acutiflorus Ehrh. ex Hoffm.	Juncus articulatus L.	Juncus bulbosus L.	Juncus conglomeratus L.	Juncus effusus L.	Juncus inflexus L.	Juncus subnodulosus Schrank	Juncus tenuis Willd.	Lathyrus pratensis L.	Lemna minor L.	Lemna minuta Kunth	Lemna trisulca L.	Leontodon autumnalis L.	Leontodon hispidus L.	Lolium perenne L.	Lotus corniculatus L.	Lotus pedunculatus Cav.	Lotus uliginosus Schkuhr	Lycopus europaeus L.	Lysimachia nummularia L.	Lythrum salicaria L.	Mentha aquatica L.	Mentha aquatica x arvensis = M. x verticillata L.	Myosotis scorpioides L.	Oenanthe crocata L.	Oenanthe fistulosa L.	Persicaria amphibia (L.) Delarbre	Persicaria hydropiper (L.) Delarbre	Persicaria lapathifolia (L.) Delarbre	Persicaria maculosa Gray	Phleum pratense L. s.s.	Phragmites australis (Cav.) Trin. ex Steud.	Pimpinella major (L.) Huds.	Plantago lanceolata L.	Plantago media L.	Poa annua L.	Poa pratensis L. s.s.	Poa trivialis L.	Polygonum aviculare L. s.s.	Potentilla anserina L.	Potentilla reptans L.	Prunella vulgaris L.	Prunus spinosa L.	Pteridium aquilinum (L.) Kuhn	Pulicaria dysenterica (L.) Bernh.	Pulicaria vulgaris Gaertn.	Quercus robur L.	Ranunculus acris L.	Ranunculus bulbosus L.	Ranunculus flammula L.	Ranunculus repens L.	Ranunculus sceleratus L.	Rorippa sylvestris (L.) Besser	Rosa canina agg.	Rosa rubiginosa L.	Rubus fruticosus agg.	Rubus idaeus L.	Rubus parviflorus Nutt.	Rumex acetosa L.	Rumex acetosella L.	Rumex conglomeratus Murray	Rumex crispus L.	Rumex hydrolapathum Huds.	Rumex obtusifolius L.	Rumex palustris Sm.	Rumex sanguineus L.	Salix alba x euxina = S. x fragilis L.	Salix caprea L.	Salix cinerea L.	Salix cinerea subsp. cinerea L.	Salix pentandra L.	Sambucus nigra L.	Schedonorus arundinaceus (Schreb.) Dumort.	Schoenoplectus lacustris (L.) Palla	Scirpus sylvaticus L.	Scrophularia auriculata L.	Scrophularia nodosa L.	Scutellaria galericulata L.	Scutellaria minor Huds.	Senecio aquaticus Hill	Senecio erucifolius L.	Senecio jacobaea L.	Silene dioica (L.) Clairv.	Silene flos-cuculi (L.) Clairv.	Solanum dulcamara L.	Sonchus asper (L.) Hill	Sonchus oleraceus L.	Sparganium erectum L.	Stachys sylvatica L.	Stellaria alsine Grimm	Stellaria graminea L.	Stellaria holostea L.	Stellaria media (L.) Vill. s.s.	Stellaria palustris Ehrh. ex Hoffm.	Tamus communis L.	Taraxacum officinale agg.	Typha latifolia L.	Urtica dioica L.	Valeriana dioica L.	Valeriana officinalis L.	Veronica anagallis-aquatica L.	Veronica beccabunga L.	Veronica scutellata L.	Vicia cracca L.	Viola palustris L.
S11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	2	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
S01	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
S02	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0
S03	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
S04	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
S05	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
S07	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0
S08	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S09	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
S10	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
